service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
47158,1,1,1,1,1,1,1,20230101,20251231
47180,0,0,0,0,0,1,1,20230101,20251231
47190.122095,1,0,0,1,0,0,0,20230101,20251231
47190.122096,0,0,1,0,1,0,0,20230101,20251231
47191.122097,0,1,0,0,0,0,0,20230101,20251231
47227.122136,1,1,1,1,1,0,0,20230101,20251231
47162.122059,1,1,1,1,1,0,0,20230101,20251231
47175.122073,1,0,0,0,1,0,0,20230101,20251231
47176.122074,0,1,0,1,0,0,0,20230101,20251231
47172.122070,0,0,1,0,0,0,0,20230101,20251231
47202.122108,1,0,1,0,1,0,0,20230101,20251231
