trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
649205,08:38:00,08:38:00,155563,1,,,,1
649205,08:45:00,08:45:00,155642,2,,,,1
649205,08:53:00,08:53:00,155653,3,,,,1
649205,09:00:00,09:00:00,156720,4,,,,1
649205,09:20:00,09:20:00,155603,5,,,,1
649205,09:40:00,09:40:00,155580,6,,,,1
649205,09:50:00,09:50:00,155586,7,,,,1
649205,10:25:00,10:25:00,155576,8,,,,1
649205,10:38:00,10:38:00,155577,9,,,,1
649205,10:48:00,10:48:00,155562,10,,,,1
649205,11:17:00,11:17:00,156720,11,,,,1
649205,11:33:00,11:33:00,155598,12,,,,1
649205,11:43:00,11:43:00,155649,13,,,,1
649205,11:47:00,11:47:00,155652,14,,,,1
649205,11:55:00,11:55:00,155595,15,,,,1
649205,12:25:00,12:25:00,155584,16,,,,1
649206,08:38:00,08:38:00,155563,1,,,,1
649206,08:45:00,08:45:00,155642,2,,,,1
649206,08:53:00,08:53:00,155653,3,,,,1
649206,09:00:00,09:00:00,156720,4,,,,1
649206,09:20:00,09:20:00,155603,5,,,,1
649206,09:40:00,09:40:00,155580,6,,,,1
649206,09:50:00,09:50:00,155586,7,,,,1
649206,10:25:00,10:25:00,155576,8,,,,1
649206,10:38:00,10:38:00,155577,9,,,,1
649206,10:48:00,10:48:00,155562,10,,,,1
649206,11:17:00,11:17:00,156720,11,,,,1
649206,11:33:00,11:33:00,155598,12,,,,1
649206,11:43:00,11:43:00,155649,13,,,,1
649206,11:47:00,11:47:00,155652,14,,,,1
649206,11:55:00,11:55:00,155595,15,,,,1
649206,12:25:00,12:25:00,155584,16,,,,1
649207,05:03:00,05:03:00,155563,1,,,,1
649207,05:13:00,05:13:00,156720,2,,,,1
649207,05:15:00,05:15:00,155642,3,,,,1
649207,05:45:00,05:45:00,155577,4,,,,1
649207,05:55:00,05:55:00,155562,5,,,,1
649207,06:36:00,06:36:00,156720,6,,,,1
649207,06:38:00,06:38:00,155642,7,,,,1
649207,06:55:00,06:55:00,155644,8,,,,1
649207,07:02:00,07:02:00,155580,9,,,,1
649207,07:14:00,07:14:00,155632,10,,,,1
649207,07:23:00,07:23:00,155645,11,,,,1
649207,07:30:00,07:30:00,155643,12,,,,1
649207,07:40:00,07:40:00,155585,13,,,,1
649207,07:56:00,07:56:00,156720,14,,,,1
649207,08:00:00,08:00:00,155621,15,,,,1
649207,08:10:00,08:10:00,155584,16,,,,1
649204,08:38:00,08:38:00,155563,1,,,,1
649204,08:45:00,08:45:00,155642,2,,,,1
649204,08:53:00,08:53:00,155653,3,,,,1
649204,09:00:00,09:00:00,156720,4,,,,1
649204,09:20:00,09:20:00,155603,5,,,,1
649204,09:40:00,09:40:00,155580,6,,,,1
649204,09:50:00,09:50:00,155632,7,,,,1
649204,10:25:00,10:25:00,155576,8,,,,1
649204,10:38:00,10:38:00,155577,9,,,,1
649204,10:48:00,10:48:00,155562,10,,,,1
649204,11:17:00,11:17:00,156720,11,,,,1
649204,11:33:00,11:33:00,155598,12,,,,1
649204,11:43:00,11:43:00,155649,13,,,,1
649204,11:47:00,11:47:00,155652,14,,,,1
649204,11:55:00,11:55:00,155595,15,,,,1
649204,12:25:00,12:25:00,155584,16,,,,1
649201,05:03:00,05:03:00,155563,1,,,,1
649201,05:13:00,05:13:00,156720,2,,,,1
649201,05:15:00,05:15:00,155642,3,,,,1
649201,05:45:00,05:45:00,155577,4,,,,1
649201,05:55:00,05:55:00,155562,5,,,,1
649201,06:36:00,06:36:00,156720,6,,,,1
649201,06:38:00,06:38:00,155642,7,,,,1
649201,06:55:00,06:55:00,155644,8,,,,1
649201,07:02:00,07:02:00,155580,9,,,,1
649201,07:14:00,07:14:00,155632,10,,,,1
649201,07:22:00,07:22:00,155645,11,,,,1
649201,07:30:00,07:30:00,155643,12,,,,1
649201,07:45:00,07:45:00,155572,13,,,,1
649201,07:58:00,07:58:00,156720,14,,,,1
649201,08:00:00,08:00:00,155621,15,,,,1
649201,08:10:00,08:10:00,155584,16,,,,1
649274,04:22:00,04:22:00,155563,1,,,,1
649274,04:35:00,04:35:00,155573,2,,,,1
649274,04:40:00,04:40:00,155569,3,,,,1
649274,04:48:00,04:48:00,155570,4,,,,1
649274,04:55:00,04:55:00,155581,5,,,,1
649274,05:02:00,05:02:00,155580,6,,,,1
649274,05:14:00,05:14:00,155635,7,,,,1
649274,05:16:00,05:16:00,155624,8,,,,1
649274,05:19:00,05:19:00,155623,9,,,,1
